Title,Domain,Year,Organization,Keywords,TRL
Quantum computing device and quantum computer,quantum-computing,2025,ELEKTRON CO LTD,"It is proposed a quantum computing device (1) comprising:-a permanent magnet device (2) configured to establish magnetic fields having different intensities from one another for different positions on a first axis (7); and-an ion trap (100) having a first region (14) and a second region (15) arranged above each other, where-the ion trap (100) has at least one subarea (47) as part of the first region (14) and the second region (15) for accommodating at least one ionic crystal, and-the at least one ionic crystal comprises a plurality of trapped ions (6) arranged along a first axis (7). Furthermore, a quantum computer is proposed.",9
QUANTUM COMPUTING ARRANGEMENT AND QUANTUM COMPUTER,quantum-computing,2025,ELEQTRON GMBH,,2
QUANTUM CHIP AND QUANTUM COMPUTING DEVICE,quantum-computing,2024,YANGTZE DELTA INDUSTRIAL INNOVATION CENTER OF QUANTUM SCIENCE AND TECH,"A quantum chip and a quantum computing device, which are applied to the technical field of quantum computing. The quantum chip comprises a first substrate and a second substrate which are oppositely arranged; a reading cavity is provided in the surface of the side of the first substrate facing the second substrate, quantum bits corresponding to the reading cavity are provided on the surface of the side of the second substrate facing the first substrate, and the reading cavity and the quantum bits form capacitors to be mutually coupled. The structure of a quantum chip body is respectively arranged on two opposite surfaces, so that structural components of the two surfaces are mutually coupled to form the quantum chip body, and the number of the structural components arranged in any surface can be decreased, thereby reducing the wiring difficulty of the structure of the quantum chip body in any surface. In addition, the capacitors are formed between the reading cavity and the quantum bits in the thickness direction to be mutually coupled, so that the coupling strength between the reading cavity and the quantum bits can be greatly improved, and the performance of the quantum bits can be improved.",5
QUANTUM COMPUTER AND QUANTUM COMPUTING SYSTEM,quantum-computing,2025,"Hitachi, Ltd.",A quantum computer has a qubit control section that controls a qubit array in which a plurality of qubits are disposed in a two-dimensional square lattice manner and a shared control line capable of controlling a plurality of qubit pairs composed of a pair of qubits adjacent. The qubit control section controls part of the qubit pairs among the plurality of qubit pairs by a plurality of two-qubit gates that are given a constraint condition relating to a product of operations and that execute operation processing on a plurality of qubit pairs.,6
Quantum computing arrangement and quantum computer,quantum-computing,2025,ELEKTRON CO LTD,"A quantum computing arrangement (1) is specified, comprising a permanent magnet arrangement (2) having a plurality of permanent magnetization segments (3). The quantum computing arrangement is configured to implement a Porro trap (100) for trapping ions along a predefined line (7). Each segment has a magnetization direction (4). The segments are arranged such that the magnetization directions of at least some segments differ from each other and such that a magnetic field is established, the size of which varies along a predefined line. Furthermore, a quantum computer (8) comprising the quantum computing arrangement (1) is specified.",4
QUANTUM COMPUTING ARRANGEMENT AND QUANTUM COMPUTER,quantum-computing,2024,ELEQTRON GMBH,"A quantum computing arrangement (1) is specified comprising a permanent magnet arrangement (2) having a plurality of permanently magnetized segments (3). The quantum computing arrangement is configured to realize a Paul trap (100) for trapping ions along a predefined line (7). Each segment has a magnetization direction (4). The segments are arranged such that the magnetization directions of at least some segments differ from each other and such that a magnetic field is established, the magnitude of which changes along the predefined line. Further, a quantum computer (8) comprising a quantum computing arrangement (1) is specified.",7
QUANTUM COMPUTING ARRANGEMENT AND QUANTUM COMPUTER,quantum-computing,2025,ELEQTRON GMBH,,9
Quantum computing device and quantum computer,quantum-computing,2025,ELEKTRON CO LTD,"There is described a quantum computing device (1) comprising:-a permanent magnet device (2) configured to establish magnetic fields of different intensities from each other for different positions on a first shaft (7); a space (5) for at least two captured quantum particles (6) arranged along a first axis (7); and-a soft magnetic material (61) surrounded by the permanent magnet arrangement (2), the soft magnetic material (61) being configured to enhance the magnetic field established by the permanent magnet arrangement (2). The invention further relates to a quantum computer (8) comprising the quantum computing device (1).",3
QUANTUM COMPUTING ARRANGEMENT AND QUANTUM COMPUTER,quantum-computing,2024,ELEQTRON GMBH,"A quantum computing arrangement (1) is specified, comprising - a permanent magnet arrangement (2), and - a space (5) within the permanent magnet arrangement (2) for at least two trapped quantum particles (6) arranged along a first axis (7), wherein - the permanent magnet arrangement (2) comprising a plurality of segments (3), namely at least four segments (3), - each segment (3) has a magnetisation direction (4), - the magnetisation direction (4) of at least four segments (3) being different to one another, thereby establishing a magnetic field having with a magnitude changing along the first axis (7). Further, a quantum computer (8) comprising a quantum computing arrangement (1) is specified.",8
SYSTEM AND METHOD OF IMPROVING FIDELITY IN EXECUTION OF QUANTUM PROGRAMS,quantum-computing,2024,"UNIV CHICAGO,,CHONG FREDERIC T,,RAVI GOKUL SUBRAMANIAN","A quantum computing system including a plurality of quantum computing resources, and at least one classical processor configured to: create and execute a canary circuit corresponding to the original quantum circuit on the at least one classical processor; identify a classical canary output; identify a canary ordering of quantum computing resources that increases a likelihood of generating the classical canary output on the plurality of quantum computing resources; execute the original quantum circuit on the plurality of quantum computing resources; identify a set of actual outputs generated by execution of the original quantum circuit on the plurality of quantum computing resources; associate an ordering of the plurality of quantum computing resources corresponding to each actual output of the set of actual outputs; and determine a correct output of the original quantum circuit based on comparing the ordering of the plurality of quantum computing resources with the canary ordering.",5
Visual presentation of quantum classical interface in user experience,quantum-computing,2023,IBM,The invention relates to visual presentation of a quantum classical interface in a user experience. A quantum computing interface system is provided. The system presents a classic computing user interface (UI) element to represent a classic computing domain. The appearance of the change of the classic computing UI element indicates a classic domain event occurring in the classic computing domain. The system presents a quantum computing UI element to represent a quantum computing domain. The appearance of the change of the quantum computing UI element indicates a quantum domain event occurring in the quantum computing domain. The system presents a data connection UI element to represent a data connection between a classic computing domain and a quantum computing domain. The appearance of the change of the data connection UI element indicates a data flow event associated with a data conversion between the classic computing domain and the quantum computing domain.,3
Classical computing resource management system and quantum computer,quantum-computing,2024,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"The invention discloses a classical computing resource management system and a quantum computer, and the classical computing resource management system comprises a quantum computing task scheduling unit, a classical computing resource management unit and a classical computing back-end unit which are in communication connection, the quantum computing task scheduling unit is used for managing quantum computing resources and scheduling and optimizing quantum computing tasks; the classic computing resource management unit is used for providing a classic computing resource operation interface, managing classic computing resources and uniformly scheduling the classic computing resources and quantum computing resources; the classic computing rear-end unit is used for executing instruction transmission of a quantum computing task, distributed analog computing of the quantum computing task, computing result feedback and control of a computing rear-end running state, and classic computing resources are effectively managed and scheduled by providing a classic computing resource management system; and efficient execution of quantum and classical hybrid calculation is ensured.",7
QUANTUM COMPUTER AND QUANTUM COMPUTING SYSTEM,quantum-computing,2023,HITACHI LTD,"The present invention comprises a quantum bit control unit that controls a quantum bit array in which a plurality of quantum bits are arranged into a two-dimensional square lattice, and a common control line capable of controlling a plurality of quantum bit pairs configured by a pair of adjacent quantum bits. The quantum bit control unit controls some of the plurality of quantum bit pairs by means of a plurality of second-quantized gates which are given a restraint condition related to the product of operation and perform operation processing on the plurality of quantum bit pairs.",2
QUANTUM CHIP AND QUANTUM COMPUTING DEVICE,quantum-computing,2025,YANGTZE DELTA INDUSTRIAL INNOVATION CENTER OF QUANTUM SCIENCE AND TECH,"A quantum chip and a quantum computing device are applied to the field of quantum computing technologies. The quantum chip includes a first substrate and a second substrate arranged oppositely, where a reading cavity is formed on a side surface of the first substrate facing the second substrate, a quantum bit corresponding to the reading cavity is disposed on a side surface of the second substrate facing the first substrate, and the reading cavity and the quantum bit are mutually coupled by forming a capacitor therebetween. Structures of a quantum chip body are disposed on two opposite surfaces respectively, and structural components on the two surfaces are mutually coupled to form the quantum chip body, which may reduce the number of the structural components disposed in any surface, thereby lowering the wiring difficulty of the structures of the quantum chip body in any surface",8
Quantum computing device and quantum computer,quantum-computing,2025,ELEKTRON CO LTD,"A quantum computing device (1) is proposed, comprising a permanent magnet device (2) and a substrate (50). The quantum computing device is configured to implement a planar Porro trap (100) for capturing at least one ionic crystal (6a, 6b) having a number of ions (6) arranged along a predefined line (7). Components of the quantum computing device, which form electrodes (20, 30, 40a, 40b) of a planar Porro trap for establishing an electrically trapping potential, are arranged on a top side (51) of a substrate (50). The predefined line is located above the top side (51). The permanent magnet arrangement establishes a magnetic field, wherein the magnitude of the magnetic field varies along a predefined line. Furthermore, a quantum computer (8) comprising the quantum computing device (1) is proposed.",5
Quantum computing device and quantum computer,quantum-computing,2025,ELEKTRON CO LTD,"There is described a quantum computing device (1) comprising:-a permanent magnet device (2); and-a space (5) within the permanent magnet arrangement (2) for at least two captured quantum particles (6), the at least two captured quantum particles (6) being arranged along a first axis (7), in which-the permanent magnet arrangement (2) comprises a plurality of segments (3), i.e. At least four segments (3),-each segment (3) having a magnetization direction (4),-the magnetization directions (4) of the at least four segments (3) being different from each other,-the space (5) of the at least two captured quantum particles (6) being arranged along the first axis (7). Thereby establishing a magnetic field having an intensity that varies along the first axis (7). The invention further relates to a quantum computer (8) comprising the quantum computing device (1).",8
Quantum computing task processing method and device and quantum computer operating system,quantum-computing,2022,ORIGIN QUANTUM COMPUTING TECH CO LTD,"The invention discloses a quantum computing task processing method and device and a quantum computer operating system. The method comprises the steps that a quantum circuit corresponding to a quantum computing task is cut into a plurality of sub-quantum circuits based on the quantum state evolution process of quantum bits of the quantum circuit; respectively preparing an initial quantum state of a quantum bit in each sub-quantum circuit; quantum bits in each sub-quantum circuit after the initial quantum state is prepared are measured, and a measurement result of each sub-quantum circuit is obtained; and synthesizing the measurement results of the sub-quantum circuits to obtain a calculation result of the quantum calculation task. By adopting the embodiment of the invention, the quantum computing task can be decomposed into a plurality of independent sub-quantum computing tasks, and distributed computing of the quantum computing task is realized.",6
Quantum computing task scheduling method and device and quantum computer operating system,quantum-computing,2022,ORIGIN QUANTUM COMPUTING TECH CO LTD,"The invention belongs to the field of quantum computing, and discloses a quantum computing task scheduling method and device and a quantum computer operating system, and the method comprises the steps: obtaining a current topological structure of a quantum chip; for a quantum calculation task which is received at the cut-off current moment and is represented by a quantum circuit, obtaining the quantum circuit matched with the current topological structure of the quantum chip as a quantum circuit to be processed according to the number of quantum bits contained in the quantum circuit; compiling each quantum circuit to be processed to obtain an executable quantum circuit which can be executed on the quantum chip; determining the execution time of the executable quantum circuit according to the time sequence of the executable quantum circuit; and determining a to-be-scheduled quantum computing task according to the priority of each executable quantum circuit. According to the method, the utilization rate of the computing resources of the quantum chip is greatly improved, the scheduling efficiency of the quantum computing task is improved, and the computing efficiency of quantum computing is jointly improved.",7
"Information interaction method, terminal, system and quantum computing online education applet",quantum-computing,2023,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"The invention discloses an information interaction method, a terminal, a system and a quantum computing online education applet, and the method comprises the steps that the terminal responds to a quantum programming starting operation for the quantum computing online education applet, and jumps to a quantum programming interface; the terminal creates a quantum program in response to a quantum program creation operation for the quantum programming interface, and sends the quantum program to a quantum computing device; the quantum computing device executes the quantum program to obtain a computing result, and sends the computing result to the terminal; and the terminal outputs the calculation result. Based on the technical scheme, the threshold for executing quantum calculation to obtain the quantum calculation result is reduced, and the usability of quantum calculation is improved.",6
QUANTUM COMPUTING MONITORING SYSTEM,quantum-computing,2023,AMAZON TECH INC,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed.",8
Resource scheduling method of quantum computing measurement and control system and quantum computer,quantum-computing,2025,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"The invention discloses a resource scheduling method of a quantum computing measurement and control system and a quantum computer.The resource scheduling method of the quantum computing measurement and control system comprises the steps that whether resource conflicts exist between a quantum computing task to be executed and other quantum computing tasks being executed in a task thread or not is judged through a resource manager; according to the scheme, parallel execution of the multiple quantum computing tasks can be achieved, and the execution efficiency of the quantum computing tasks in the quantum computing measurement and control system is effectively improved.",6
"QUANTUM COMPUTING TASK EXECUTION METHOD AND APPARATUS, AND QUANTUM COMPUTER OPERATING SYSTEM",quantum-computing,2024,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"A quantum computing task execution method and apparatus, and a quantum computer operating system are applied to a first electronic device including a quantum chip. First physical qubits in the quantum chip are assigned to execute a first quantum computing task. The method includes: acquiring a current topological structure of the quantum chip; acquiring a second quantum computing task in a task queue; determining second physical qubits based on the current topological structure and the second quantum computing task, wherein the second physical qubits and the first physical qubits do not interfere with each other; and assigning the second physical qubits to execute the second quantum computing task. According to some embodiments of the present disclosure, parallel computing of a plurality of quantum computing tasks can be realized during quantum computing.",9
QUANTUM COMPUTING MONITORING SYSTEM,quantum-computing,2023,AMAZON TECH INC,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed.",3
QUANTUM COMPUTING DEVICE AND METHOD FOR MANUFACTURING QUANTUM COMPUTING DEVICE,quantum-computing,2024,FUJITSU LTD,"This quantum computing device includes a first quantum bit substrate and a first relay substrate that are stacked. The first quantum bit substrate includes a first quantum bit, a first electrode, a second electrode, and a third electrode. The first relay substrate includes: first wiring to which a control signal for controlling the first quantum bit is inputted, the first wiring being connected to the first electrode; second wiring for reading a response signal indicating the quantum state of the first quantum bit, the second wiring being connected to the second electrode; and a first capacitor for capacitively coupling the first quantum bit and a second quantum bit, the first capacitor being connected to the third electrode.",1
QUANTUM COMPUTING DEVICE AND METHOD FOR MANUFACTURING QUANTUM COMPUTING DEVICE,quantum-computing,2024,FUJITSU LTD,"A quantum operation device (10) includes: a first substrate (30) that has a through-hole (32A, 32B); a qubit element (20) formed at a first surface (S1) of the substrate (30); a cover (50) that covers a side of the first surface (S1) of the first substrate (30); and a second substrate (40) that is provided on a side of a second surface (S2) opposite to the side of the first surface (S1) of the first substrate (30) and that closes an open end of the through-hole (32A, 32B) on the side of the second surface (S2). A sealed space (51) that surrounds the qubit element (20) and communicates with the through-hole (32A, 32B) is provided between the first surface (S1) and the cover (50).",9
CONTROLLED JITTER INJECTION INTO A SIGNAL,quantum-computing,2023,"IBM,,IBM DEUTSCHLAND","A method of controlling a quantum computing output includes generating a baseline quantum computing signal from a quantum computing system. A controlled noise component is added to the quantum computing system. An output from the quantum computing system is read, wherein the output includes the controlled noise component. An effect on the baseline quantum computing signal due to the controlled noise component in the output is determined.",9
Quantum computing monitoring system,quantum-computing,2024,AMAZON TECH INC,"A quantum computing monitoring system may receive a request from a user describing an algorithm to be executed using a classic computing resource and a quantum computing resource and a metric to be monitored associated with executing the algorithm at the quantum computing resource. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resource at the individual steps of executing the algorithm at the quantum computing resource, and determine the metric based on the obtained measurements. The quantum computing monitoring system may evaluate the metric relative to a threshold and provide an alert to the user in response to determining that the metric fails to meet the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resource as needed.",7
VISUAL PRESENTATION OF QUANTUM-CLASSICAL INTERFACE IN A USER EXPERIENCE,quantum-computing,2023,IBM,A quantum computing interface system is provided. The system presents a classical computing user interface (UI) element to represent a classical computing domain. An altered appearance of the classical computing UI element indicates a classical domain event occurring in the classical computing domain. The system presents a quantum computing UI element to represent a quantum computing domain. An altered appearance of the quantum computing UI element indicates a quantum domain event occurring in the quantum computing domain. The system presents a data connection UI element to represent a data connection between the classical computing domain and the quantum computing domain. An altered appearance of the data connection UI element indicates a data flow event related to data transition between the classical computing domain and the quantum computing domain.,6
DATA GENERATION TASK PROCESSING METHOD AND QUANTUM COMPUTING SYSTEM,quantum-computing,2024,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"Embodiments of the present application provide a data generation task processing method and a quantum computing system. The method comprises: receiving a data generation task; constructing a basic computing subtask and a quantum computing subtask of the data generation task; executing an operation process of the basic computing subtask to obtain basic computing result data, and distributing the quantum computing subtask to a quantum computing unit so that the quantum computing unit carries out operation to obtain quantum computing result data of the quantum computing subtask; and generating target data according to the basic computing result data and the quantum computing result data. According to the embodiments of the present application, the decomposition of a data generation task into a basic computing subtask and a quantum computing subtask is achieved, and processing a data generation task by a classical computer is changed to processing a data generation task by a classical computer and a quantum computer together, thereby reducing, to a certain extent, the usage of operation resources of the classical computer when processing a data generation task.",2
QUANTUM COMPUTING MONITORING SYSTEM,quantum-computing,2025,AMAZON TECH INC,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed.",3
QUANTUM COMPUTING SERVICE SUPPORTING LOCAL EXECUTION OF HYBRID ALGORITHMS,quantum-computing,2021,AMAZON TECH INC,"A quantum computing service includes connections to one or more quantum hardware providers that are configured to execute quantum circuits using quantum computers based on one or more quantum technologies. The quantum computing service also includes at least one edge computing device located adjacent to a quantum computer at one of the quantum hardware provider facilities. The edge computing device is configured to execute classical computing portions of a hybrid algorithm in coordination with the quantum computer, which executes quantum computing portions of the hybrid algorithm. Results of the execution of the hybrid algorithm are automatically stored to a data storage service accessible to the customer.",1
A QUANTUM COMPUTING SYSTEM AND A METHOD FOR USING SUCH A QUANTUM COMPUTING SYSTEM,quantum-computing,2025,QUANTINUUM LTD,A computer-implemented method is disclosed herein which comprises: providing a Hamiltonian representation of a physical system; using a first quantum circuit to block encode the Hamiltonian into a matrix; and using a second quantum circuit to perform a Quantum Singular Value Transformation to invert the matrix. The inverted matrix is used to provide the Green's function corresponding to the physical system for determining one or more physical properties of the physical system.,1
QUANTUM COMPUTING SYSTEM AND USE METHOD FOR QUANTUM COMPUTING SYSTEM,quantum-computing,2020,UNIV TOKYO SCIENCE FOUND,"This quantum computing system is provided with a plurality of basic structures configured to include: a first quantum bit group comprising first quantum bits that are arranged in one column and not connected to each other; a second quantum bit group comprising second quantum bits that are arranged in one column, said second quantum bits being connected to the second quantum bits adjacent thereto and connected to a first quantum bit arranged in the same row; and a third quantum bit connected with all of the second quantum bits. The plurality of basic structures are arranged in one column, and said quantum computing system is provided with a quantum computing circuit obtained by connecting the third quantum bits of adjacent basic structures. In the resulting quantum computing circuit configuration, a two-dimensional cluster state or a three-dimensional cluster state is achieved using control wiring on a two-dimensional plane, or surface code is achieved using a quasi-two-dimensional superconducting circuit.",5
QUANTUM COMPUTING SERVICE SUPPORTING MULTIPLE QUANTUM COMPUTING TECHNOLOGIES,quantum-computing,2021,AMAZON TECH INC,A quantum computing service includes connections to multiple quantum hardware providers that are configured to execute quantum circuits using quantum computers based on different quantum technologies. The quantum computing service enables a customer to define a quantum algorithm/circuit in an intermediate representation and select from any of a plurality of supported quantum computing technologies to be used to execute the quantum algorithm/quantum circuit.,9
CONTROLLED JITTER INJECTION INTO A SIGNAL,quantum-computing,2023,IBM,"A method of controlling a quantum computing output includes generating a baseline quantum computing signal from a quantum computing system. A controlled noise component is added to the quantum computing system. An output from the quantum computing system is read, wherein the output includes the controlled noise component. An effect on the baseline quantum computing signal due to the controlled noise component in the output is determined.",7
SIMULATING OPERATING CONDITIONS OF QUANTUM COMPUTING DEVICES,quantum-computing,2022,RED HAT INC,"Simulating operating conditions for quantum computing devices is disclosed. In one example, a processor device of a staging computing device (i.e., a classical non-quantum computing device) receives an operating parameter from a quantum computing device, wherein the operating parameter represents an operating condition of the quantum computing device. The processor device also receives a quantum service definition that defines a quantum service. A quantum simulator of the processor device accesses the quantum service definition, simulates the operating condition of the quantum computing device based on the operating parameter, and then executes the quantum service under the simulated operating condition based on the quantum service definition.",7
Concurrent task scheduling system and method for quantum computing processor and medium,quantum-computing,2023,SHANDONG YUNHAI GUOCHUANG CLOUD COMPUTING EQUIPMENT IND INNOVATION CENTER CO LTD,"The invention relates to the field of quantum computing, in particular to a concurrent task scheduling system and method for a quantum computing processor and a medium. The system comprises: at least one quantum computing processor, each quantum computing processor having a plurality of quantum bits; the first-layer scheduling center monitors the busy degree of each quantum computing processor, extracts the total task number from the quantum experiment information to be processed, and executes task segmentation to obtain a task queue corresponding to each quantum computing processor; the second-layer dispatching center divides the plurality of quantum bits into a plurality of quantum bit combinations by taking each quantum computing processor as a unit and monitors the working state; and selecting a target quantum bit combination from the plurality of quantum bit combinations according to the working state to execute a task queue segmented by the first-layer scheduling center for the corresponding quantum computing processor. According to the scheme, the problem that the quantum computing processor is exclusively occupied by the experiment task is solved, and the experiment task processing speed is increased.",5
A quantum computing system and a method for using such a quantum computing system,quantum-computing,2023,CAMBRIDGE QUANTUM COMPUTING LTD,,5
QUANTUM COMPUTING DEVICE AND METHOD FOR MANUFACTURING QUANTUM COMPUTING DEVICE,quantum-computing,2023,FUJITSU LTD,"A quantum computing device (10) comprises: a first substrate (30) having a through-hole (32A, 32B); a qubit element (20) formed on a first surface (S1) of the substrate (30); a cover (50) covering the first surface (S1) side of the first substrate (30); and a second substrate (40) provided on a second surface (S2) side of the first substrate (30) opposite the first surface (S1) side, and closing an opening end of the through-hole (32A, 32B) on the second surface (S2) side. A sealed space (51) surrounding the qubit element (20) and communicating with the through-hole (32A, 32B) is provided between the first surface (S1) and the cover (50).",6
QUANTUM COMPUTING DEVICE AND QUANTUM COMPUTING DEVICE MANUFACTURING METHOD,quantum-computing,2025,"FUJITSU LTD,,UNIV DELFT TECH",An optical waveguide is produced that includes a first section with a light incident face and a second section with a light emitting face. An indentation is formed with a profile corresponding to a profile of the first section at a mounting position for the optical waveguide of a substrate to be mounted with the optical waveguide. The optical waveguide is mounted on the substrate by arranging the first section in the recess. A crystal body is formed that is connected to the second section and includes a color center. A photodetector is formed on the substrate to detect light emitted from the light emitting face. The first section has side faces that intersect with the light incident face and are inclined with respect to the light incident face such that a surface area of a cross-section of the first section intersecting with a progression direction of light gradually reduces along the light progression direction. A center axis of the first section and a center axis of the second section are present on a straight line.,8
QUANTUM COMPUTING SERVICE SUPPORTING MULTIPLE QUANTUM COMPUTING TECHNOLOGIES,quantum-computing,2021,AMAZON TECH INC,A quantum computing service includes connections to multiple quantum hardware providers that are configured to execute quantum circuits using quantum computers based on different quantum technologies. The quantum computing service enables a customer to define a quantum algorithm/circuit in an intermediate representation and select from any of a plurality of supported quantum computing technologies to be used to execute the quantum algorithm/ quantum circuit.,1
SERVICE FOR MANAGING QUANTUM COMPUTING RESOURCES,quantum-computing,2024,AMAZON TECH INC,"Methods, systems, and computer-readable media for a service for managing quantum computing resources are disclosed. A task management service receives a description of a task specified by a client. From a pool of computing resources of a provider network, the service selects a quantum computing resource for implementation of the task. The quantum computing resource comprises a plurality of quantum bits. The service causes the quantum computing resource to run a quantum algorithm associated with the task. The service receives one or more results of the quantum algorithm from the quantum computing resource.",2
QUANTUM COMPUTING SYSTEM AND USE METHOD FOR QUANTUM COMPUTING SYSTEM,quantum-computing,2023,UNIV TOKYO SCIENCE FOUND,"A quantum computing system including plural base configurations each configured including a first quantum bit group configured from first quantum bits arranged so as to form a single column without mutual coupling, a second quantum bit group configured from second quantum bits arranged so as to form a single column with adjacent ones of the second quantum bits coupled together and each of the second quantum bits coupled to the first quantum bit that is arranged in a same row, and a third quantum bit coupled to all of the second quantum bits. The plural base configurations are arranged so as to form a single column with the third quantum bits in adjacent ones of the base configurations coupled together. In a quantum computing circuit configuration, a two-dimensional cluster state or a three-dimensional cluster state is accordingly realized with two-dimensional control wiring, or surface code is accordingly realized with a pseudo two-dimensional superconducting circuit.",1
ROBUST QUANTUM COMPUTING,quantum-computing,2024,UNIV SURREY,"Robust optimal control techniques are provided that may shape driving pulses such that the gates are realised with high fidelity despite experimental uncertainty in all or some of the physical parameters of the qubits, drives, qubit-qubit coupling, and qubit-drive coupling. For example, a method for controlling a quantum system comprising a plurality of coupled qubits may comprise: i) assigning the qubits to a plurality of subgroups, wherein the assigning comprises selecting at least one driven qubit and a plurality of undriven qubits for each subgroup, such that each undriven qubit in a subgroup is coupled to a driven qubit in that subgroup and such that any two adjacent subgroups share at least one undriven qubit and do not share any driven qubit; and ii) applying drive signals to each driven qubit to implement a set of desired quantum gates at the driven qubits, wherein the application of the drive signals to the driven qubits at the same time implements the identity gate at each undriven qubit.",9
RELATING TO QUANTUM COMPUTING,quantum-computing,2024,"UNIVERSAL QUANTUM LTD,,UNIV OF SUSSEX","A surface ion trap comprising a plurality of electrodes and DACs, each electrode being controlled by a DAC, wherein a first set of DACs control the electrodes configured to trap an ion in a first area and a second set of DACs control the electrodes configured to trap an ion in a second area wherein the first set of DACs are configured to operate with low noise and low bandwidth and the second set of DACs are configured to operate with a high bandwidth and high noise.",4
QUANTUM COMPUTING DEVICE AND METHOD FOR MANUFACTURING QUANTUM COMPUTING DEVICE,quantum-computing,2023,FUJITSU LTD,"A quantum computing device (10) comprises: a layered plurality of substrates (20, 30, 40) that includes a substrate (20) provided with a quantum bit element (11); and through vias (35A, 35B, 45A, 45B) that are provided to, of the plurality of substrates (20, 30 ,40), at least the substrate (40) which is disposed in the uppermost layer and the substrate (30) which is disposed in the lowermost layer, and that are electrically connected to the substrate (20) which is disposed in an adjacent layer.",2
Systems and Methods for Quantum Tomography Using an Ancilla,quantum-computing,2023,GOOGLE LLC,"Quantum computing systems and methods are provided. In one example, a quantum computing system includes a quantum system having one or more quantum system qubits and one or more ancilla qubits. The quantum computing system includes one or more quantum gates implemented by the quantum computing system. The quantum gate(s) are operable to configure the one or more ancilla qubits into a known state. The quantum computing system includes a quantum measurement circuit operable to perform a plurality of measurements on the one or more quantum system qubits using the one or more ancilla qubits. The quantum computing system includes one or more processors operable to determine a reduced density matrix for a subset of the quantum system based on a set of the plurality of measurements that include a number of repeated measurements performed using the quantum measurement circuit.",8
Method for executing quantum computing and device for executing quantum computing,quantum-computing,2024,OCCHIO QUANTUM COMPUTING LTD,"A method of performing quantum computing is provided. The method comprises providing a quantum system (300) comprising components (302). The method includes encoding the computational problem (110) as a problem Hamiltonian (150) of the quantum system. The problem Hamiltonian is a single Hamiltonian that is the sum of the problem Hamiltonian (152) to be added. The method includes determining a constrained Hamiltonian operator of the quantum system (250). The constrained Hamiltonian is a sum of the added constrained Hamiltonian (252). The ground state of the total Hamiltonian code encodes the solution of the calculation problem. The total Hamiltonian operator comprises the sum of a problem Hamiltonian operator and a constraint Hamiltonian operator. The method includes determining a constrained Hamiltonian of a first subset S1 of constrained Hamiltonian and a constrained Hamiltonian of a second subset S2 of constrained Hamiltonian. The method includes performing N rounds of operations, where N > = 2. Each round includes preparing an initial quantum state, and each round includes evolving the quantum system according to a unitary operator sequence. The sequence comprises problem coding unitary operators, constraint enforcement unitary operators and unitary driver operators, and each problem coding unitary operator is a unitary time evolution operator of an individual added problem Hamiltonian or a unitary time evolution operator of the sum of the added problem Hamiltonian of the problem Hamiltonian. Each constrained enforcement unitary operator is a unitary time evolution operator taken from the constrained Hamiltonian of the constrained Hamiltonian of a first subset of the constrained Hamiltonian, or a unitary time evolution operator taken from the sum of the constrained Hamiltonian of the first subset of the constrained Hamiltonian. Each unitary driver operator is a unitary operator that is comparable to each constrained Hamiltonian of the constrained Hamiltonian of the second subset of the constrained Hamiltonian. Each round includes performing measurements of one or more components of the quantum system. The method includes outputting a result of the quantum computation (590).",4
